cytoband	8p23.3	12q24.33	1p35.3	8p11.22	2q37.3	19p13.3	6p25.1	2p25.3	9p21.3	16q24.2	1p35.1	22q12.3	7q36.3	11q25	20q13.13	10q26.3	18q23	3p14.2	1q21.3	1p36.32	3q22.3	10p15.3	11p15.4	4q35.2	6q25.3	22q13.32	19p13.12	15q12	17p13.2	21q22.2	17q12	19q12	15q21.3	3q23	2q22.1	6q15	17q25.3	1p33	5q14.3	9q34.3	19q13.33	
																																									HIF3A	
																																									CHST8	
																																									ZNF574	
																																									PLEKHG2	
																																									ZNF649	
																																									ZSCAN18	
																																									MGC2752	
																																									TSEN34	
																																									KCTD15	
																																									TRAPPC6A	
																																									MBOAT7	
																																									FKRP	
																																									ZSCAN5A	
																																									LENG1	
																																									LILRP2	
																																									LILRA6	
																																									RBM42	
																																									ZNF576	
																																									LRFN3	
																																									ZNF329	
																																									IGFLR1	
																																									TBC1D17	
																																									ZNF419	
																																									GEMIN7	
																																									ISOC2	
																																									MYH14	
																																									ZNF665	
																																									ZNF552	
																																									ZNF671	
																																									ZNF613	
																																									ADCK4	
																																									CNTD2	
																																									ZNF702P	
																																									LOC80054	
																																									ZNF606	
																																									ZNF614	
																																									FUZ	
																																									OPA3	
																																									ITPKC	
																																									B9D2	
																																									RSPH6A	
																																									ZNF611	
																																									MED25	
																																									BCL2L12	
																																									TEX101	
																																									GRWD1	
																																									WDR87	
																																									CCDC8	
																																									KIRREL2	
																																									ANKRD27	
																																									ZNF541	
																																									SYT3	
																																									PDCD2L	
																																									AKT1S1	
																																									ZNF528	
																																									BRSK1	
																																									ZNF527	
																																									CNFN	
																																									SNORD35B	
																																									ZNF347	
																																									ZNF577	
																																									ZNF607	
																																									SUV420H2	
																																									C19orf48	
																																									NFKBID	
																																									ZBTB45	
																																									CEP89	
																																									ZNF382	
																																									ZNF587	
																																									FIZ1	
																																									ZNF566	
																																									ALKBH6	
																																									RHPN2	
																																									GALP	
																																									SIGLEC10	
																																									SIGLEC12	
																																									ZNF628	
																																									KIR3DX1	
																																									ZNF30	
																																									ZNF551	
																																									CEACAM21	
																																									ZNF616	
																																									ZNF766	
																																									CCDC97	
																																									EXOC3L2	
																																									ZNF468	
																																									ZNF160	
																																									CTU1	
																																									ZNF835	
																																									YIF1B	
																																									C19orf40	
																																									TDRD12	
																																									ZNF765	
																																									NLRP12	
																																									MYADM	
																																									ZNF845	
																																									ZNF461	
																																									ZNF585B	
																																									TIMM50	
																																									SHKBP1	
																																									DMKN	
																																									CCDC114	
																																									DKFZp434J0226	
																																									ACPT	
																																									CGB5	
																																									DKFZp566F0947	
																																									CGB7	
																																									LRRC4B	
																																									LENG9	
																																									CGB8	
																																									GNG8	
																																									PPP1R14A	
																																									EGLN2	
																																									BIRC8	
																																									FAM71E1	
																																									RDH13	
																																									PTH2	
																																									ZIM3	
																																									SIGLEC11	
																																									CGB1	
																																									CGB2	
																																									LMTK3	
																																									LENG8	
																																									FBXO17	
																																									KIR3DL3	
																																									ARHGAP33	
																																									RASGRP4	
																																									ZNF526	
																																									ZNF837	
																																									CLDND2	
																																									ZNF816	
																																									ZNF543	
																																									CEACAM20	
																																									COX6B2	
																																									OSCAR	
																																									ZNF813	
																																									JOSD2	
																																									IZUMO2	
																																									CPT1C	
																																									ALDH16A1	
																																									NTN5	
																																									NLRP13	
																																									NLRP8	
																																									NLRP5	
																																									ZNF787	
																																									ZNF573	
																																									WDR88	
																																									EID2B	
																																									IRGQ	
																																									ZNF428	
																																									WTIP	
																																									ZNF792	
																																									HSPB6	
																																									RINL	
																																									FBXO27	
																																									C19orf47	
																																									ZFP28	
																																									VSIG10L	
																																									LOC147646	
																																									LINC00085	
																																									ZNF480	
																																									ZNF534	
																																									ZNF578	
																																									ERVV-1	
																																									LOC147670	
																																									C19orf18	
																																									ZNF418	
																																									ZNF417	
