cytoband	8p23.3	12q24.33	8p11.22	1p35.3	16q24.2	2q37.3	2p25.3	19p13.3	22q12.3	9p21.3	20q13.13	1q21.3	1p35.1	7q36.3	6p25.1	3p14.2	4q34.3	10q26.3	11p15.4	18q23	10p15.3	11q25	6q25.3	3q22.3	1p36.32	19p13.12	15q11.2	15q21.3	22q13.33	2q22.1	
																														LIMS1	
																														LRP2	
																														LTBP1	
																														LY75	
																														EPCAM	
																														MXD1	
																														MAL	
																														MAP2	
																														MAT2A	
																														MATN3	
																														MCM6	
																														MDH1	
																														MEIS1	
																														MGAT5	
																														MPV17	
																														MYO1B	
																														MSH2	
																														MTIF2	
																														MYCN	
																														MYL1	
																														MYO7B	
																														NAB1	
																														NCL	
																														NEB	
																														NDUFA10	
																														NDUFB3	
																														NDUFS1	
																														SEPT2	
																														NEU2	
																														NEUROD1	
																														NFE2L2	
																														NPAS2	
																														NPHP1	
																														NPPC	
																														NR4A2	
																														ODC1	
																														ORC2	
																														ORC4	
																														OTX1	
																														REG3A	
																														PAX3	
																														PCBP1	
																														PDCD1	
																														PDE1A	
																														PDE6D	
																														PDK1	
																														PEX13	
																														VIT	
																														SERPINE2	
																														PIGF	
																														PLCL1	
																														PLEK	
																														PLGLB2	
																														PLGLB1	
																														PMS1	
																														POLR2D	
																														POMC	
																														POU3F3	
																														PPM1B	
																														PPM1G	
																														PPP1CB	
																														PPP1R7	
																														PPP3R1	
																														PRKCE	
																														EIF2AK2	
																														PROC	
																														PSMD1	
																														PTH2R	
																														PTMA	
																														PTPN4	
																														PTPRN	
																														RAB1A	
																														RALB	
																														RANBP2	
																														RBMS1	
																														REL	
																														REG1A	
																														REG1B	
																														REG1P	
																														SNORD20	
																														RPE	
																														RPL31	
																														RPL37A	
																														RPS7	
																														RPS27A	
																														RRM2	
																														RTKN	
																														SAG	
																														SCN1A	
																														SCN2A	
																														SCN3A	
																														SCN7A	
																														SCN9A	
																														SCTR	
																														CCL20	
																														SDC1	
																														SRSF7	
																														SFTPB	
																														SIX3	
																														SLC4A3	
																														SLC1A4	
																														SLC3A1	
																														SLC8A1	
																														SLC9A2	
																														SLC11A1	
																														SLC20A1	
																														SNRPG	
																														SOS1	
																														SOX11	
																														SP3	
																														SP100	
																														SPAST	
																														SPP2	
																														SPR	
																														SPTBN1	
																														SRD5A2	
																														SSB	
																														SSFA2	
																														STAT1	
																														STAT4	
																														STRN	
																														SULT1C2	
																														ADAM17	
																														TACR1	
																														GCFC2	
																														TFPI	
																														TGFA	
																														TIA1	
																														TNFAIP6	
																														TNP1	
																														TNS1	
																														TPO	
																														TSN	
																														TSSC1	
																														TTN	
																														TUBA4A	
																														SUMO1	
																														UCN	
																														UGP2	
																														VIL1	
																														VRK2	
																														VSNL1	
																														WIPF1	
																														WNT6	
																														XDH	
																														XPO1	
																														XRCC5	
																														ZAP70	
																														ZNF2	
																														ZNF142	
																														SLC30A3	
																														PXDN	
																														ALMS1	
																														MOGS	
																														RNF103	
																														PAX8	
																														IL1R2	
																														MALL	
																														CXCR4	
																														FZD5	
																														SCG2	
																														DYSF	
																														FZD7	
																														SDPR	
																														NCK2	
																														DUSP11	
																														CUL3	
																														KLF11	
																														MAP4K3	
																														PKP4	
																														HAT1	
																														DGKD	
																														AGPS	
																														PRKRA	
																														STK16	
																														SLC25A12	
																														KLF7	
																														ABCB11	
																														NCOA1	
																														VAMP8	
																														MARCO	
																														B3GALT1	
																														ADAM23	
																														SUCLG1	
																														IL18RAP	
																														IL1RL2	
																														IL18R1	
																														NRP2	
																														CFLAR	
																														ASAP2	
																														PER2	
																														ST3GAL5	
																														SLC5A6	
																														DDX18	
																														EIF2B4	
																														CDK5R2	
																														KYNU	
																														TAF1B	
																														NAT8	
																														NMI	
																														RQCD1	
																														COX7A2L	
																														TMSB10	
																														IL1RL1	
																														LRRFIP1	
																														STK17B	
																														ITGB1BP1	
																														GPR55	
																														TRIP12	
																														GTF3C3	
																														PPIG	
																														NRXN1	
																														OTOF	
																														CIAO1	
																														TGFBRAP1	
																														HS6ST1	
																														CRIPT	
																														ECEL1	
																														MAP4K4	
																														EIF2AK3	
																														EIF4E2	
																														ROCK2	
																														CHST10	
																														TP53I3	
																														CIR1	
																														MRPL33	
																														BRE	
																														PREPL	
																														CYTIP	
																														FEZ2	
																														GCC2	
																														TTLL4	
																														SOCS5	
																														EIF5B	
																														GREB1	
																														BZW1	
																														USP34	
																														LAPTM4A	
																														HDAC4	
																														RNF144A	
																														SNX17	
																														SERTAD2	
																														MRPL19	
																														ZEB2	
																														FARP2	
																														TLK1	
																														SUPT7L	
																														CD302	
																														ARHGAP25	
																														TANK	
																														BCL2L11	
																														FARSB	
																														ABCB6	
																														ACTR3	
																														ACTR2	
																														ARPC2	
																														PREB	
																														ACTR1B	
																														ARL4C	
																														LRPPRC	
																														PDIA6	
																														ABI2	
																														CEBPZ	
																														DHRS9	
																														TXNDC9	
																														MPHOSPH10	
																														CALCRL	
																														PSMD14	
																														STAM2	
																														RAMP1	
																														SPEG	
																														LANCL1	
																														NMUR1	
																														SMYD5	
																														KBTBD10	
																														MYCNOS	
																														C1D	
																														MERTK	
																														UBE2E3	
																														STK25	
																														SEMA4F	
																														CCT7	
																														CCT4	
																														GNLY	
																														CDC42EP3	
																														STAMBP	
																														TGOLN2	
																														MTX2	
																														CGREF1	
																														B3GNT2	
																														USP39	
																														TBR1	
																														SIX2	
																														MAP3K2	
																														NCKAP1	
																														VAMP5	
																														MTHFD2	
																														ARID5A	
																														PROKR1	
																														RAB10	
																														EDAR	
																														COPS8	
																														GPR75	
																														YWHAQ	
																														IMMT	
																														SNRNP27	
																														GTF2A1L	
																														STON1	
																														RAPGEF4	
																														EMILIN1	
																														CAPN10	
																														TBC1D8	
																														RABL2A	
																														GALNT5	
																														NXPH2	
																														GPR45	
																														SP140	
																														MGAT4A	
																														GPN1	
																														IKZF2	
																														COBLL1	
																														AAK1	
																														FASTKD2	
																														MAPRE3	
																														PLA2R1	
																														RAB3GAP1	
																														RPIA	
																														SLC4A1AP	
																														EFR3B	
																														SNRNP200	
																														MYT1L	
																														WDR43	
																														LPIN1	
																														CEP68	
																														PASK	
																														UBXN4	
																														ATG4B	
																														PSME4	
																														EXOC6B	
																														EHBP1	
																														SATB2	
																														CLASP1	
																														OBSL1	
																														PUM2	
																														NCAPH	
																														RHOQ	
																														SF3B1	
																														HAAO	
																														TMEM131	
																														R3HDM1	
																														DNPEP	
																														PSD4	
																														WBP1	
																														NTSR2	
																														TMEFF2	
																														SH3BP4	
																														PRKD3	
																														KCNE4	
																														RASGRP3	
																														NGEF	
																														QPCT	
																														GCA	
																														VAX2	
																														SNORD82	
																														MOB4	
																														POLR1A	
																														CNRIP1	
																														FAM98A	
																														PNKD	
																														UNC50	
																														SNED1	
																														GORASP2	
																														SPATS2L	
																														RAB11FIP5	
																														GIGYF2	
																														EPC2	
																														TRAF3IP1	
																														ABCA12	
																														IFT172	
																														ARL5A	
																														HIBCH	
																														PTPN18	
																														CNNM4	
																														CNNM3	
																														IL36RN	
																														SH3YL1	
																														SNORD53	
																														SNORD51	
																														CNPPD1	
																														STK36	
																														IL36B	
																														IL37	
																														IL36A	
																														SULT1C4	
																														NFU1	
																														ERLEC1	
																														MMADHC	
																														BMP10	
																														ZNF638	
																														STK39	
																														HTRA2	
																														EML4	
																														TRIB2	
																														CPS1-IT1	
																														METTL5	
																														LGALSL	
																														OLA1	
																														C2orf27A	
																														GRHL1	
																														TFCP2L1	
																														ICOS	
																														GMPPA	
																														NRBP1	
																														BAZ2B	
																														SLC40A1	
																														KCNIP3	
																														EHD3	
																														SMARCAL1	
																														CD207	
																														ITSN2	
																														ANO7	
																														ARHGEF4	
																														PDE11A	
																														TPRKB	
																														FAHD2A	
																														PRLH	
																														WDPCP	
																														MEMO1	
																														THAP4	
																														TRAPPC12	
																														ASB3	
																														INSIG2	
																														CRIM1	
																														ANKRD39	
																														FAM178B	
																														RNF181	
																														MRPL30	
																														DNAJC27	
																														ANKMY1	
																														KRCC1	
																														MRPL35	
																														C2orf28	
																														PCYOX1	
																														GULP1	
																														REV1	
																														NAT8B	
																														SCLY	
																														VPS54	
																														NBAS	
																														LIPT1	
																														NOP58	
																														DYNC2LI1	
																														SF3B14	
																														YPEL5	
																														CHMP3	
																														FKBP7	
																														ASB1	
																														CPSF3	
																														CAB39	
																														ZAK	
																														BCL11A	
																														LRP1B	
																														PRKAG3	
																														PPIL3	
																														SNTG2	
																														DNAJC10	
																														ATAD2B	
																														ETAA1	
																														HEATR5B	
																														CCDC93	
																														ASNSD1	
																														UGT1A10	
																														UGT1A8	
																														UGT1A7	
																														UGT1A6	
																														UGT1A5	
																														UGT1A9	
																														UGT1A4	
																														UGT1A1	
																														UGT1A3	
																														FEV	
																														AFTPH	
																														MFSD6	
																														TMEM214	
																														RETSAT	
																														INO80D	
																														SEMA4C	
																														C2orf18	
																														C2orf42	
																														TRMT61B	
																														PID1	
																														PTCD3	
																														PLEKHB2	
																														ATG16L1	
																														FANCL	
																														SRBD1	
																														FIGN	
																														ANKZF1	
																														RIF1	
																														USP40	
																														MOB1A	
																														STEAP3	
																														ASXL2	
																														ADI1	
																														THNSL2	
																														ACOXL	
																														WDR33	
																														HJURP	
																														STRADB	
																														C2orf56	
																														HES6	
																														ACCN4	
																														C2orf29	
																														NAGK	
																														DOCK10	
																														TTC27	
																														SMPD4	
																														TMEM127	
																														PRPF40A	
																														SLC30A6	
																														IWS1	
																														LIMS2	
																														KANSL3	
																														MREG	
																														CCDC88A	
																														WDR12	
																														MBD5	
																														KDM3A	
																														ALLC	
																														PECR	
																														ARHGAP15	
																														ZC3H15	
																														CFC1	
																														DNAH7	
																														GKN1	
																														IL36G	
																														RPRM	
																														CYP26B1	
																														POLE4	
																														KCNK12	
																														UGGT1	
																														KCMF1	
																														DPYSL5	
																														PNO1	
																														STARD7	
																														C2orf83	
																														MFF	
																														RPL23AP32	
																														CXCR7	
																														RNPEPL1	
																														RTN4	
																														TRIM54	
																														PELI1	
																														SLC39A10	
																														TTC7A	
																														SMEK2	
																														SLC4A10	
																														CYP20A1	
																														SPC25	
																														BIRC6	
																														ERMN	
																														KIDINS220	
																														MTA3	
																														HECW2	
																														WDR35	
																														MARCH4	
																														WDFY1	
																														NYAP2	
																														DPP10	
																														RDH14	
																														EPB41L5	
																														ALS2	
																														ZDBF2	
																														USP37	
																														CWC22	
																														ANKRD36B	
																														G6PC2	
																														SLC4A5	
																														CTDSP1	
																														NLRC4	
																														MPP4	
																														SLC5A7	
																														NIF3L1	
																														AGBL5	
																														C2orf43	
																														THADA	
																														PCGEM1	
																														RBKS	
																														GAL3ST2	
																														TMBIM1	
																														IFIH1	
																														OSGEPL1	
																														ATL2	
																														ABCG5	
																														ABCG8	
																														RAB17	
																														RNF25	
																														HS1BP3	
																														GMCL1	
																														TTC31	
																														ANAPC1	
																														COPS7B	
																														RMND5A	
																														FNDC4	
																														MARCH7	
																														OBFC2A	
																														PAPOLG	
																														MRPS9	
																														MRPS5	
																														REEP1	
																														RAPH1	
																														CDK15	
																														TMEM237	
																														NBEAL1	
																														CFLAR-AS1	
																														MRPL44	
																														SOWAHC	
																														PLEKHA3	
																														TRAK2	
																														BOLL	
																														COLEC11	
																														PDCL3	
																														TRPM8	
																														ATG9A	
																														C2orf49	
																														MLPH	
																														TMEM185B	
																														FAM134A	
																														CENPO	
																														OR7E91P	
																														GLB1L	
																														C2orf47	
																														SPAG16	
																														CHPF	
																														SAP130	
																														GALNT14	
																														SCRN3	
																														CCDC121	
																														FASTKD1	
																														SMC6	
																														GTDC1	
																														CLIP4	
																														IQCA1	
																														ALS2CR8	
																														TTC21B	
																														CAMKMT	
																														METTL8	
																														GEMIN6	
																														NHEJ1	
																														FAM124B	
																														TM4SF20	
																														CYBRD1	
																														C2orf54	
																														NOL10	
																														ANKRD53	
																														CSRNP3	
																														PGAP1	
																														LRRTM4	
																														DCAF17	
																														TUBA4B	
																														MZT2B	
																														YSK4	
																														UXS1	
																														FBXO11	
																														ARMC9	
																														COQ10B	
																														SLC35F5	
																														EFHD1	
																														C2orf44	
																														SPHKAP	
																														WNT10A	
																														SLC19A3	
																														TSGA10	
																														THSD7B	
																														THUMPD2	
																														TMEM177	
																														KIAA1715	
																														ILKAP	
																														FAM49A	
																														LMAN2L	
																														LBH	
																														TMEM163	
																														ITM2C	
																														TCF7L1	
																														INO80B	
																														AMMECR1L	
																														CDCA7	
																														WDR54	
																														ZRANB3	
																														RAB6C	
																														WDR75	
																														FAM161A	
																														FAM176A	
																														ANTXR1	
																														POLR1B	
																														ELMOD3	
																														RGPD5	
																														C2orf16	
																														RHBDD1	
																														CHCHD5	
																														YIPF4	
																														PRADC1	
																														C2orf88	
																														ING5	
																														CCDC115	
																														MKI67IP	
																														C2orf40	
																														ZNF512	
																														ZC3H8	
																														KIAA1841	
																														ST6GAL2	
																														IL1F10	
																														DPY30	
																														MCEE	
																														LOXL3	
																														ABHD1	
																														PCGF1	
																														DDX11L2	
																														MFSD9	
																														PLCD4	
																														SFT2D3	
																														CCDC142	
																														ZNF514	
																														FAM136A	
																														TMEM87B	
																														ATOH8	
																														LOC84931	
																														MGC16025	
																														TANC1	
																														EPT1	
																														LBX2	
																														PNPT1	
																														KCNH7	
																														FER1L5	
																														MCFD2	
																														ATP6V1E2	
																														LOC90499	
																														CCDC74A	
																														LOC90784	
																														DHX57	
																														LOC91149	
																														SESTD1	
																														CCDC74B	
																														PKDCC	
																														ANKRD44	
																														RSAD2	
																														ZNF804A	
																														TTC30A	
																														DAPL1	
																														CAPN13	
																														TMEM169	
																														DNER	
																														CCDC164	
																														IMP4	
																														HNRPLL	
																														MARS2	
																														B3GNT7	
																														NT5C1B	
																														NEURL3	
																														SP140L	
																														SFXN5	
																														ORMDL1	
																														LIMS3	
																														LINC00152	
																														TUBA3E	
																														CCDC104	
																														TEX261	
																														TUBA3D	
																														STK11IP	
																														FMNL2	
																														CCDC85A	
																														GALNT13	
																														KLHL29	
																														OSBPL6	
																														NOSTRIN	
																														DIRC1	
																														WDR92	
																														MOGAT1	
																														LYPD1	
																														MRPL53	
																														AGAP1	
																														TWIST2	
																														PARD3B	
																														RPL23AP7	
																														PPP1R21	
																														C2orf89	
																														TMEM150A	
																														NUP35	
																														XIRP2	
																														TYW5	
																														NMS	
																														LYG1	
																														MITD1	
																														DIS3L2	
																														CMPK2	
																														MBOAT2	
																														CNTNAP5	
																														TMEM18	
																														FBLN7	
																														NEU4	
																														RBM45	
																														C2orf73	
																														TRIM43	
																														BBS5	
																														C2orf77	
