cytoband	3q28	3q26.33	19q13.2	11q13.3	8q24.22	17q24.3	5p14.3	9p21.1	5p13.2	18q21.2	5p15.2	13q33.1	7p21.1	1q21.2	17q11.2	7p11.2	14q31.1	14q13.3	7q31.32	
			RPS16		hsa-mir-1207	AANAT		DDX58	RPL37					hsa-mir-29b-2	SNORD4B			ARHGAP5	hsa-mir-183	
			RYR1		hsa-mir-1205	ACOX1		SPINK4	SKP2					hsa-mir-135b	SNORD4A			BCL2L2	hsa-mir-129-1	
			SUPT5H		hsa-mir-1204	APOH		CHMP5	SLC1A3					hsa-mir-1231	SNORD42B			CEBPE	hsa-mir-593	
			ZFP36		hsa-mir-548d-1	CA4		APTX	OSMR					hsa-mir-181a-1	SNORD42A			CFL2	hsa-mir-592	
			DPF1		hsa-mir-2053	CACNG1		SMU1	NUP155					hsa-mir-1278	PIPOX			CMA1	hsa-mir-548o	
			KCNK6		hsa-mir-548a-3	CD79B		TAF1L	TTC33					hsa-mir-3121	C17orf63			LTB4R	hsa-mir-4285	
			GMFG		hsa-mir-3151	CDK3		TMEM215	NIPBL					hsa-mir-488	PHF12			CTSG	hsa-mir-106b	
			PAK4		ADCY8	CLTC		LOC100129250	WDR70					hsa-mir-199a-2	RAB34			DAD1	hsa-mir-591	
			SPINT2		ANGPT1	CSH1			C5orf42					hsa-mir-1295	TLCD1			COCH	hsa-mir-489	
			DLL3		ANXA13	CSH2			CARD6					hsa-mir-3119-2	SEZ6			FOXG1	hsa-mir-1285-1	
			MAP4K1		ATP6V1C1	CSHL1			LMBRD2					hsa-mir-557	PROCA1			GPR33	ABP1	
			ZFP30		BAI1	CYB561			EGFLAM					hsa-mir-1255b-2	DHRS13			GZMH	ACHE	
			SIRT2		CYC1	ACE			NADKD1					hsa-mir-921	NEK8			GZMB	AKR1B1	
			SIPA1L3		CYP11B1	DDX5			UGT3A2					hsa-mir-556	MYO18A			FOXA1	ARF5	
			ZNF345		CYP11B2	ERN1			RANBP3L					hsa-mir-4259	MIR144			HNRNPC	ASNS	
			EIF3K		DPYS	EVPL			RICTOR					hsa-mir-765	MIR451A			CTAGE5	AZGP1	
			ZNF571		EEF1D	BPTF			SNORD72					hsa-mir-9-1	MIR451B			MMP14	OPN1SW	
			PAF1		EXT1	FDXR			LOC646719					hsa-mir-555	MIR4732			MYH6	BPGM	
			SARS2		GLI4	FOXJ1			MIR580					hsa-mir-92b	RAB34			MYH7	BRAF	
			SAMD4B		GML	GALK1			MIR3650					hsa-mir-4258				NEDD8	CALCR	
			MED29		GPR20	GH1			LOC100506548					hsa-mir-190b				NFATC4	CALD1	
			LRFN1		GPT	GH2			EGFLAM-AS4					hsa-mir-554				NFKBIA	CALU	
			ZNF529		GRINA	GRB2								hsa-mir-4257				NOVA1	CAPZA2	
			CATSPERG		HAS2	GRIN2C								hsa-mir-3118-3				PNP	CASP2	
			C19orf33		HSF1	H3F3B								hsa-mir-3118-2				NRL	CAV1	
			PLEKHG2		EIF3E	ICAM2								hsa-mir-3118-1				OXA1L	CAV2	
			WDR87		KCNQ3	ICT1								ABL2				PAX9	KRIT1	
			ZNF527		LY6E	ITGB4								ACTA1				PCK2	CDK5	
			ZNF607		LY6H	KCNJ2								ACTN2				PNN	CDK6	
			ZNF382		MYC	KCNJ16								ADAR				PRKD1	CFTR	
			YIF1B		NDUFB9	KPNA2								ADORA1				PSMA6	CHRM2	
			ZNF461		TONSL	LLGL2								PARP1				PSMB5	AP1S1	
			ZNF585B		NOV	MAP3K3								AGT				PSME1	CLCN1	
			TIMM50		TNFRSF11B	PECAM1								ALDH9A1				PSME2	COL1A2	
			PPP1R14A		ENPP2	PRKAR1A								APCS				RABGGTA	CPA1	
			FBXO17		PLEC	PRKCA								APOA2				RNASE1	CPA2	
			RASGRP4		POU5F1B	MAP2K6								FASLG				RNASE2	CUX1	
			ZNF573		PTK2	PRPSAP1								ARF1				RNASE3	CYP3A7	
			EID2B		PVT1	PSMC5								ARNT				RNASE4	CYP3A4	
			RINL		RAD21	PSMD12								ASTN1				RNASE6	CYP3A5	
			FBXO27		RPL8	RPL38								SERPINC1				SALL2	CYP51A1	
			ZNF420		ST3GAL1	RPS6KB1								ATF3				SRP54	DLD	
			FAM98C		SLA	SCN4A								ATP1A2				SSTR1	DLX5	
			CAPN12		SNTB1	SEC14L1								ATP1A4				TEP1	DLX6	
			ZNF569		SQLE	SRSF2								ATP1B1				TGM1	DYNC1I1	
			ZNF570		TAF2	SMARCD2								ATP2B4				NKX2-1	DPP6	
			ZNF567		TG	SUMO2								AVPR1B				PABPN1	SLC26A3	
			ZNF383		TRHR	SOX9								BCL9				GEMIN2	EN2	
			ZNF781		TRPS1	SRP68								BGLAP				AP1G2	EPHA1	
			EID2		TSTA3	SSTR2								C4BPA				SLC7A7	EPHB4	
			ZNF540		COL14A1	TBX2								C4BPB				CPNE6	EPHB6	
			ZNF585A		ZNF7	AXIN2								CACNA1E				AKAP6	EPO	
			GGN		ZNF16	PPM1D								CACNA1S				KIAA0391	EZH2	
			IL28A		PSCA	RGS9								CAPN2				TOX4	FLNC	
			IL28B		FZD6	GALR2								CASQ1				REC8	GBX1	
			IL29		LY6D	SPHK1								CD1A				PARP2	GNB2	
			LOC284408		JRK	SLC16A6								CD1B				DHRS2	GNG11	
			LOC284412		EIF3H	SLC16A5								CD1C				EFS	GNGT1	
			HKR1		DGAT1	SLC9A3R1								CD1D				IRF9	GPR22	
			ZNF850		GPAA1	COG1								CD1E				PRMT5	GPR37	
			NCCRP1		WISP1	RECQL5								CD247				SEC23A	GRM3	
			SYCN		FOXH1	TBX4								CD5L				TM9SF1	GRM8	
			SELV		EBAG9	KIAA0195								CD34				EDDM3A	MNX1	
			ZNF829		RECQL4	MRC2								CD48				DHRS4	AGFG2	
			ZNF568		LRRC14	HELZ								CENPF				RIPK3	HTR5A	
			ZNF790		TTC35	MED13								CHI3L1				AP4S1	IFRD1	
			ZNF793		RIMS2	DCAF7								CHIT1				BAZ1A	IMPDH1	
			PAPL		MTSS1	ABCA10								LYST				SUPT16H	INSIG1	
			SPRED3		ZNF623	ABCA9								CHRM3				ACIN1	IRF5	
			LOC643669		KIAA0196	ABCA8								CHRNB2				SCFD1	KCND2	
			LOC644554		HHLA1	ATP5H								CKS1B				KHNYN	KCNH2	
			LGALS7B		TRIB1	APPBP2								CLK2				SLC7A8	KEL	
			LOC100507433		NDRG1	ST6GALNAC2								COPA				HECTD1	LAMB1	
			MIR4530		COLEC10	GNA13								CR1				HEATR5A	LEP	
			LOC100631378		KHDRBS3	SEPT9								CR1L				NGDN	LRCH4	
					PTP4A3	CD300C								CR2				LRP10	MCM7	
					RNF139	TLK2								CRABP2				NKX2-8	DNAJB9	
					ZHX1	POLG2								CRP				TINF2	MEST	
					PUF60	CD300A								CSRP1				OR10G3	MET	
					ZHX2	DDX42								CTSE				OR10G2	MKLN1	
					DENND3	ARSG								CTSK				OR4E2	NDUFA5	
					ZC3H3	GGA3								CTSS				CIDEB	NDUFB2	
					EFR3A	JMJD6								CD55				CHMP4A	NOS3	
					ARC	EXOC7								DHX9				STXBP6	CNOT4	
					BOP1	ABCA6								DPT				STRN3	NPTX2	
					ZFPM2	ABCA5								ECM1				SLC39A2	NRCAM	
					SCRIB	KCTD2								EIF2D				FAM158A	NRF1	
					LRRC6	WBP2								EFNA1				ZNF219	OCM2	
					DCAF13	CDC42EP4								EFNA3				GMPR2	ORC5	
					FBXL6	NOL11								EFNA4				SLC22A17	SERPINE1	
					OPLAH	TANC2								ELF3				MBIP	PAX4	
					KCNV1	NAT9								ELK4				HAUS4	PCOLCE	
					MTBP	PITPNC1								ENSA				PPP2R3C	PDK4	
					EIF2C2	CACNG5								EPHX1				C14orf119	SLC26A4	
					COMMD5	CACNG4								EPRS				RNF31	PEX1	
					MRPL13	SAP30BP								ESRRG				RBM23	CDK14	
					ATAD2	NT5C								ETV3				C14orf167	ABCB1	
					ASAP1-IT1	CDR2L								F5				G2E3	ABCB4	
					CPSF1	MRPS7								F13B				OSGEP	PIK3CG	
					LRP12	RNFT1								FCER1A				ARHGEF40	PIP	
					CYHR1	HN1								FCER1G				EAPP	PMS2P1	
					ASAP1	TUBD1								FCGR1A				METTL3	PODXL	
					FAM135B	TACO1								FCGR1B				LTB4R2	POLR2J	
					PHF20L1	AMZ2								FCGR2A				SDR39U1	PON1	
					VPS28	PTRH2								FCGR2B				RPGRIP1	PON2	
					FAM203A	SDK2								FCGR3A				NDRG2	PON3	
					KCNK9	FAM20A								FCGR3B				NYNRIN	PPP1R3A	
					C8orf55	BCAS3								FDPS				HOMEZ	PRKAR2B	
					FAM49B	TMEM104								FLG				CHD8	PRSS1	
					CHRAC1	C17orf80								FMO1				CCNB1IP1	PRSS2	
					EXOSC4	WIPI1								FMO2				SNX6	RELN	
					LY6K	ST6GALNAC1								FMO3				C14orf93	PSMC2	
					TRMT12	TEX2								FMO4				ABHD4	TAS2R38	
					OXR1	GPRC5C								FMO5				NPAS3	PTN	
					WDYHV1	CCDC47								FMOD				EDDM3B	PTPRN2	
					SLC39A4	MIF4GD								NR5A2				CDH24	PTPRZ1	
					SYBU	INTS2								DARC				METTL17	RARRES2	
					GSDMC	CASKIN2								GALNT2				IL25	RHEB	
					ENY2	TNRC6C								GBA				THTPA	SHH	
					SLURP1	SLC25A19								GBAP1				OR4K5	SLC4A2	
					SLC45A4	UBE2O								GJA5				OR11H2	SLC13A1	
					ZFAT	HEATR6								GJA8				OR4K1	SMARCD3	
					ZNF250	DNAI2								GLUL				IPO4	SMO	
					DEPTOR	SMURF2								GNG4				NUBPL	SPAM1	
					PYCRL	MRPL38								GPR25				DCAF11	SRI	
					C8orf33	MFSD11								GUK1				OR4K15	AKR1D1	
					LYNX1	ARMC7								H3F3A				BRMS1L	SRPK2	
					C8orf51	RHBDF2								HDGF				JPH4	SSBP1	
					DSCC1	DHX40								CFH				RNASE7	SYPL1	
					DERL1	NUP85								CFHR1				INSM2	TAC1	
					GPR172A	MYO15B								CFHR2				ARHGAP5-AS1	TAF6	
					GSDMD	LIMD2								MR1				RAB2B	TBXAS1	
					BAALC	KCNH6								HLX				AJUBA	TFR2	
					ZNF696	VMP1								HSD11B1				ZFHX2	TRIP6	
					ARHGAP39	BRIP1								HSPA6				RPPH1	UBE2H	
					ZNF34	QRICH2								HSPA7				SLC25A21	VGF	
					SLC25A32	USP32								IFI16				LRRC16B	VIPR2	
					TM7SF4	FAM104A								IL6R				PPP1R3E	ZAN	
					SHARPIN	MGC16275								IL10				TMEM55B	WNT2	
					EPPK1	FBF1								ILF2				TTC5	XRCC2	
					SCRT1	UNK								INSRR				EGLN3	ZNF3	
					TRAPPC9	CEP95								IRF6				C14orf126	ZKSCAN1	
					TATDN1	TRIM47								ITPKB				DHRS1	ZSCAN21	
					MAF1	STRADA								IVL				CMTM5	ZYX	
					UTP23	C17orf72								KCNH1				MIA2	MTERF	
					PARP10	OTOP2								KCNJ9				TRAPPC6B	SHFM1	
					C8orf76	TTYH2								KCNJ10				RNASE11	TFPI2	
					TIGD5	CYGB								KCNK1				TPPP2	ST7	
					NUDCD1	RNF157								KCNK2				RNASE8	ARHGEF5	
					FAM83A	FTSJ3								KCNN3				MRPL52	ZNF212	
					PPP1R16A	METTL23								KISS1				PSMB11	TRRAP	
					MED30	USH1G								LAD1				OR4K14	FZD1	
					ZNF251	CD300LB								LAMB3				OR4L1	ZNF282	
					KIFC2	KIF19								LAMC1				OR11H6	CUL1	
					PKHD1L1	C17orf64								LAMC2				KLHL33	TRIM24	
					NAPRT1	MGAT5B								LBR				MIPOL1	BUD31	
					WDR67	CD300LF								LGALS8				MDP1	SGCE	
					HPYR1	C17orf77								LMNA				CLEC14A	MGAM	
					MFSD3	TCAM1P								LMX1A				FITM1	WASL	
					MAL2	EFCAB3								LOR				REM2	PLOD3	
					CSMD3	LOC146880								LY9				C14orf21	CLDN12	
					RHPN1	MARCH10								MARK1				SPTSSA	DGKI	
					FBXO32	CEP112								MCL1				ADCY4	AP4M1	
					CTHRC1	SLC39A11								CD46				RALGAPA1	ATP6V1F	
					TOP1MT	AMZ2P1								SMCP				SFTA3	ACCN3	
					ZNF572	TRIM65								MDM4				IGBP1P1	PMPCB	
					ABRA	UNC13D								MEF2D				LOC283547	ATP5J2	
					LYPD2	LINC00469								MGST3				LOC283624	PDIA4	
					TMEM71	FADS6								MNDA				TSSK4	UBE3C	
					TMEM65	C17orf28								MPZ				FAM177A1	FAM131B	
					LOC157381	TSEN54								MTR				DHRS4L2	SEMA3E	
					C8orf56	FAM100B								MTX1				SNORD8	DOCK4	
					FAM84B	C17orf58								MUC1				RNASE10	FAM115A	
					TMEM74	MILR1								MYBPH				OR6S1	DMTF1	
					FAM91A1	RAB37								MYOC				C14orf23	DNAJB6	
					SLC30A8	METTL2A								MYOG				OR4N2	ABCF2	
					COL22A1	CD300E								PPP1R12B				OR4K2	MUC12	
					ADCK5	NACA2								NCF2				OR4K13	ARPC1B	
					TSNARE1	OTOP3								NDUFS2				OR4K17	NAMPT	
					MAPK15	GPR142								NEK2				OR4N5	AKAP9	
					NSMCE2	ZACN								NHLH1				OR11G2	RASA4	
					ZNF707	LRRC37A3								NID1				OR11H4	AASS	
					BREA2	C17orf82								NIT1				RNASE9	SLC25A13	
					FAM83H	BTBD17								NOTCH2				OR5AU1	LRRC17	
					LOC286094	KCNJ2-AS1								NPR1				POTEG	POP7	
					ZNF252	LINC00511								NTRK1				MIR208A	BET1	
					TMED10P1	LOC400620								DDR2				C14orf165	SEMA3A	
					C8orf77	FLJ45079								NVL				OR11H12	FAM3C	
					C8orf31	MIR21								PBX1				RNASE13	COG5	
					ZFP41	MXRA7								CDK18				OR4Q3	ZNHIT1	
					GPIHBP1	TBC1D3P2								PDC				OR4M1	ARPC1A	
					KLHL38	PLEKHM1P								PDZK1				RNASE12	SH2B2	
					NRBP2	LOC440461								PFDN2				POTEM	STAG3	
					ZNF517	CPSF4L								PFKFB2				LOC642426	CPSF4	
					KIAA1875	C17orf109								PIGC				ECRP	FASTK	
					C8ORFK29	LOC645638								PIGR				C14orf176	DBF4	
					RSPO2	TBC1D3P1-DHX40P1								PIK3C2B				CBLN3	COPS6	
					SPATC1	LOC653653								PI4KB				SNORD9	DUS4L	
					FLJ43860	LINC00338								PKLR				MIR624	ZNF277	
					MAFA	SCARNA20								PKP1				DHRS4L1	ABCB8	
					SAMD12	SCARNA16								PLA2G4A				SNORD126	TP53TG1	
					MIR30B	SNORA76								PLXNA2				MIR208B	PDAP1	
					MIR30D	SNORD1A								PRRX1				LOC100129794	TFEC	
					C8orf82	SNORD1B								POU2F1				LOC100288846	LAMB4	
					FER1L6-AS1	SNORD1C								PPOX				MIR4307	LMTK2	
					C8orf85	SNORD104								PPP2R5A				LOC100505967	PAXIP1	
					LRRC24	MIR634								PRCC				LOC100506071	KLHDC10	
					SAMD12-AS1	MIR635								PRELP				NEDD8-MDP1	PEG10	
					ZFAT-AS1	MIR636								PRKAB2				BCL2L2-PABPN1	SSPO	
					HAS2-AS1	LOC729683								PROX1				MIR4503	NUP205	
					LINC00051	PRCD								PSEN2				MIR548AI	AHCYL2	
					C8orf73	SNORA38B								PSMB4				MIR4707	TNPO3	
					SCXB	C17orf110								PSMD4					HYAL4	
					RAD21-AS1	CD300LD								PTGS2					TSPAN12	
					FER1L6	TEN1								QSOX1					CLEC5A	
					MIR661	LOC100287042								PTPN7					MKRN1	
					LOC727677	MIR4316								PTPN14					ZKSCAN5	
					HEATR7A	MIR548W								PTPRC					CLDN15	
					LOC728724	MIR4315-2								PEX19					BRI3	
					OC90	MIR4315-1								RAB4A					TECPR1	
					LOC731779	LOC100499466								RAB13					POT1	
					MIR937	LOC100499467								RABIF					PTCD1	
					MIR939	MIR3678								RBBP5					CNTNAP2	
					LOC100128338	MIR3615								REN					HYALP1	
					SCXA	LOC100507218								RFX5					TES	
					LOC100130231	LOC100507246								RGS1					GIMAP2	
					CCDC166	LOC100507351								RGS2					OR2F1	
					LOC100131726	TEN1-CDK3								RGS4					FBXO24	
					LOC100133669	MIR4737								RGS13					SLC13A4	
					LOC100288181	MIR4738								RGS16					STEAP1	
					MIR1205	MIR4524A								RIT1					COPG2	
					MIR1206	MIR3064								RNASEL					HBP1	
					MIR1207	MIR5047								RNF2					DNAJC2	
					MIR1204									RNPEP					TPK1	
					MIR1234									RORC					SND1	
					MIR2053									RPS27					SND1-IT1	
					MIR1208									RXRG					DENND2A	
					MIR3151									RYR2					ZNF777	
					LOC100499183									S100A1					TMEM176B	
					MIR3610									S100A2					HIPK2	
					LOC100507117									S100A3					WDR91	
					ZHX1-C8ORF76									S100A4					REPIN1	
					MIR4663									S100A5					HILPDA	
					MIR4472-1									S100A6					MDFIC	
					MIR4664									S100A7					PILRB	
					PCAT1									S100A8					PILRA	
					LINC00536									S100A9					FSCN3	
														S100A10					ATP6V0A4	
														S100A11					PNPLA8	
														S100A12					TAS2R3	
														S100A13					TAS2R4	
														XCL1					TAS2R16	
														SDHC					FIS1	
														SELE					CPA4	
														SELL					WNT16	
														SELP					ACTL6B	
														SHC1					PRKAG2	
														SLAMF1					ZC3HC1	
														SNRPE					SRRT	
														SOAT1					LUC7L2	
														UAP1					MRPS33	
														SPRR1A					ASB4	
														SPRR1B					NUB1	
														SPRR2A					NAA38	
														SPRR2B					ADAM22	
														SPRR2C					GPR85	
														SPRR2D					TAS2R5	
														SPRR2E					ANKIB1	
														SPRR2F					CHPF2	
														SPRR2G					PUS7	
														SPRR3					ING3	
														SPTA1					LRRN3	
														SRP9					CROT	
														TROVE2					ALKBH4	
														SSR2					SAMD9	
														AURKAPS1					NCAPG2	
														XCL2					CHCHD3	
														TARBP1					ZCWPW1	
														CNTN2					WDR60	
														TBCE					RBM28	
														VPS72					C7orf43	
														TGFB2					TMEM140	
														LEFTY2					GIMAP4	
														THBS3					GIMAP5	
														TCHH					TMEM176A	
														TLR5					TRPV6	
														GPR137B					PPP1R9A	
														TNNI1					CCDC132	
														TNNT2					AGK	
														TNR					METTL2B	
														TOP1P1					MLL5	
														TP53BP2					BAIAP2L1	
														TPM3					SLC25A40	
														TPR					BCAP29	
														TRAF5					MEPCE	
														CCT3					TRPV5	
														TSNAX					ANKRD7	
														TUFT1					ZC3HAV1	
														TNFSF4					SLC12A9	
														UCK2					ACN9	
														USF1					AKR1B10	
														USH2A					SMURF1	
														WNT9A					ACTR3B	
														SLC30A1					KIAA1147	
														DAP3					FAM40B	
														NPHS2					ESYT2	
														BTG2					ZNF398	
														HIST3H3					KIAA1549	
														HIST2H2AA3					GATAD1	
														HIST2H2AC					MLL3	
														HIST2H2BE					EXOC4	
														HIST2H4A					RINT1	
														PIP5K1A					GALNT11	
														TAGLN2					LRRC4	
														ANXA9					LMBR1	
														GNPAT					TMEM168	
														DYRK3					LINC00244	
														CDC42BPA					NOM1	
														RGS5					MOSPD3	
														PPFIA4					GIGYF1	
														ITGA10					CCDC136	
														BLZF1					PARP12	
														DEGS1					CREB3L2	
														VAMP4					RABL5	
														PEA15					CYP3A43	
														B4GALT3					CASD1	
														B3GALT2					LRRC61	
														ADAM15					C7orf49	
														PEX11B					ZNF655	
														CREG1					PVRIG	
														CD84					C7orf23	
														RAB7L1					GCC1	
														SELENBP1					STEAP4	
														TNFSF18					GAL3ST4	
														TAF1A					PRKRIP1	
														MPZL1					C7orf63	
														SH2D2A					CBLL1	
														ANGPTL1					ZNF767	
														TBX19					C7orf58	
														FCGR2C					TTC26	
														PRPF3					ORAI2	
														ARHGEF2					JHDM1D	
														DEDD					OR2AE1	
														XPR1					TSC22D4	
														FAIM3					TRIM56	
														MAPKAPK2					TMUB1	
														GPR37L1					ARMC10	
														GPR52					IMMP2L	
														AIM2					CTTNBP2	
														GGPS1					RBM48	
														RASAL2					ZNF394	
														ADAMTS4					MYH16	
														SEC22B					SLC37A3	
														CHD1L					KRBA1	
														SOX13					FAM71F1	
														PRDX6					MGC16142	
														IKBKE					SLC35B4	
														PDE4DIP					TMEM209	
														SLC25A44					GTPBP10	
														KIAA0040					TRIM4	
														NOS1AP					OR6W1P	
														TMEM63A					ADCK2	
														TOMM20					PLXNA4	
														URB2					ZC3HAV1L	
														ARHGEF11					MYL10	
														CEP350					LOC93432	
														SETDB1					ST7-AS1	
														ZC3H11A					ST7-AS2	
														SMG7					ST7-OT3	
														UBAP2L					CADPS2	
														SV2A					CPA5	
														DENND4B					FOXP2	
														RABGAP1L					CEP41	
														TMCC2					C7orf29	
														FAM20B					TSGA13	
														LPGAT1					AGAP3	
														KIF14					C7orf13	
														RBM8A					OR9A4	
														NR1I3					OR9A2	
														SCAMP3					C7orf34	
														ARPC5					TMEM139	
														PRG4					NOBOX	
														GPA33					OR2A14	
														STX6					OR6B1	
														SF3B4					OR2F2	
														BPNT1					ZNF786	
														PIAS3					EMID2	
														TIMM17A					PRSS37	
														LRRN2					KLF14	
														HAX1					C7orf45	
														C1orf61					SVOPL	
														SEMA6C					MTPN	
														SLC19A2					LRGUK	
														POLR3C					ASB10	
														IVNS1ABP					PRSS58	
														TXNIP					ASZ1	
														LEFTY1					MUC17	
														SPHAR					RNF32	
														PMVK					ASB15	
														FAM189B					RUNDC3B	
														CAPN9					C7orf60	
														NES					TRY6	
														KDM5B					LOC154761	
														CFHR4					CLEC2L	
														CFHR3					C7orf55	
														OCLM					LOC154822	
														JTB					LOC154860	
														MTMR11					IQUB	
														MLLT11					LOC154872	
														SLC27A3					C7orf66	
														IL24					TMEM213	
														TDRKH					GIMAP8	
														CD160					CRYGN	
														CELF3					ZNF425	
														DUSP10					LOC155060	
														PMF1					ZNF746	
														DUSP12					ATP6V0E2	
														VPS45					RBM33	
														COG2					MGC27345	
														PLEKHA6					GALNTL5	
														KIAA0907					RNF133	
														KIFAP3					THAP5	
														ATF6					CCDC71L	
														RBM34					GIMAP7	
														KIF21B					ZNF467	
														NMNAT2					BHLHA15	
														NFASC					ZNF800	
														POGZ					GIMAP1	
														GLT25D2					LOC202781	
														RGL1					C7orf33	
														SYT11					SAMD9L	
														PRRC2C					C7orf62	
														FBXO28					ZNF804B	
														RPRD2					FABP5P3	
														CAMSAP2					ZNF498	
														SRGAP2					FAM200A	
														SMG5					PPP1R35	
														NCSTN					GPC2	
														CRB1					KIAA1324L	
														GPR161					LRWD1	
														ABCB10					FAM185A	
														ZNF281					FBXL13	
														SNAPIN					NAPEPLD	
														PHLDA3					ATXN7L1	
														RUSC1					CDHR3	
														CA14					TMEM130	
														DSTYK					NYAP1	
														RAB3GAP2					SEMA3D	
														CCDC19					CNPY4	
														LMOD1					POLR2J2	
														NBPF14					HEPACAM2	
														BRP44					UBN2	
														INTS7					MBLAC1	
														OLFML2B					FAM133B	
														C1orf43					TAS2R39	
														NSL1					TAS2R40	
														DNM3					TAS2R41	
														TOR1AIP1					STEAP2	
														CHTOP					CNPY1	
														LCE2B					LOC285889	
														OPTC					FLJ40852	
														OR10J1					LOC285965	
														RPS6KC1					FAM115C	
														SNORD81					ZNF775	
														SNORD79					LOC285972	
														SNORD80					ATG9B	
														SNORD47					DLX6-AS1	
														SNORD44					ZNF789	
														RNU5F-1					LOC286002	
														USP21					C7orf53	
														DIEXF					TPI1P2	
														TAF5L					FLJ40288	
														CACYBP					MESTIT1	
														SLC39A1					ST7-OT4	
														DISC2					TAS2R60	
														DISC1					CTAGE6P	
														RNF115					TSPAN33	
														KLHL20					AGBL3	
														LAMTOR2					OR6V1	
														FLVCR1					OR2A12	
														UBE2T					OR2A1	
														CNIH4					MOGAT3	
														TMOD4					FAM71F2	
														PYCR2					STRA8	
														NME7					KLRG2	
														NENF					WDR86	
														IL19					GJC3	
														CERS2					DPY19L2P2	
														CRNN					LOC349160	
														G0S2					GATS	
														IL20					GSTK1	
														DCAF8					NAT16	
														F11R					SLC26A5	
														RRP15					LHFPL3	
														GLRX2					KCP	
														BOLA1					FLJ43663	
														ZBTB7B					RNF148	
														RRNAD1					MGC72080	
														ADIPOR1					C7orf59	
														APH1A					FEZF1	
														TRIM17					FAM180A	
														KCTD3					OR2A25	
														PLEKHO1					OR2A5	
														ACP6					LRRD1	
														IER5					FLJ42280	
														UCHL5					LOC401397	
														C1orf9					PRRT4	
														GPR89B					RAB19	
														HSD17B7					OR2A7	
														UFC1					OR2A20P	
														DTL					LOC401431	
														METTL13					OR2A42	
														OAZ3					FLJ45340	
														CYB5R1					KPNA7	
														ARID4B					C7orf61	
														CD244					UFSP1	
														DPM3					MIR106B	
														MRPS21					MIR129-1	
														TMCO1					MIR153-2	
														ADAMTSL4					MIR182	
														CRCT1					MIR183	
														EGLN1					MIR25	
														KIAA1383					MIR29A	
														SWT1					MIR29B1	
														GON4L					MIR93	
														GPATCH4					MIR96	
														LAX1					LOC407835	
														DUSP23					SPDYE3	
														C1orf27					SPDYE2	
														C1orf56					AKR1B15	
														MARC2					CTAGE15P	
														SUSD4					OR2A9P	
														RALGPS2					OR2A2	
														GPATCH2					DPY19L2P4	
														HEATR1					EIF3IP1	
														MSTO1					LMOD2	
														DARS2					MIR335	
														GOLPH3L					ARHGEF35	
														KLHDC8A					GIMAP6	
														ETNK2					WEE2	
